,视频链接,观看次数,点赞次数,评论总数,粉丝数量
0,https://www.youtube.com/watch?v=tcKnIXupv4w,90923,3110,356,191万位订阅者
1,https://www.youtube.com/watch?v=8hbyiYr1lag,150029,17087,630,610万位订阅者
2,https://www.youtube.com/watch?v=mj5tsiFM7pw,422549,52212,722,1060万位订阅者
3,https://www.youtube.com/watch?v=2J7ZhmE7d_w,165820,16701,477,68.2万位订阅者
4,https://www.youtube.com/watch?v=Q17I71UazXo,730767,27181,1224,141万位订阅者
5,https://www.youtube.com/watch?v=m4vjLALAMuQ,258005,24077,155,704万位订阅者
6,https://www.youtube.com/watch?v=j-HFlC2JD68,162038,7846,78,67.3万位订阅者
7,https://www.youtube.com/watch?v=4fY-vn8Yyvk,425373,36039,344,704万位订阅者
8,https://www.youtube.com/watch?v=jzDwIiU_a6E,155469,12066,553,1170万位订阅者
9,https://www.youtube.com/watch?v=q6xEOfxUxJo,416344,27401,2923,250万位订阅者
10,https://www.youtube.com/watch?v=mNxv6d_AqUk,254972,13652,709,289万位订阅者
11,https://www.youtube.com/watch?v=3bRG9i3Ettg,0,0,0,0
12,https://www.youtube.com/watch?v=YsE3pYsjGoA,130127,5769,70,67.3万位订阅者
13,https://www.youtube.com/watch?v=9axWqg9nf2c,336831,12184,757,60.8万位订阅者
14,https://www.youtube.com/watch?v=oudlEEFUqqg,32513,270,8,12.1万位订阅者
15,https://www.youtube.com/watch?v=1O6KtkETwHU,224422,11298,1165,76.8万位订阅者
16,https://www.youtube.com/watch?v=feWJGfvR62Q,31647,432,20,19.4万位订阅者
17,https://www.youtube.com/watch?v=NU48LyNgUi4,19998,244,3,2.61万位订阅者
18,https://www.youtube.com/watch?v=6tpL7iF3chg,56760,2817,695,8.23万位订阅者
19,https://www.youtube.com/watch?v=jAYzOW5WorA,210468,9903,877,60.8万位订阅者
