视频编号,视频链接,正向,中立,负向,非负占比,实际获取评论,总评论数,获取数量占比,观看数
0,https://www.youtube.com/watch?v=-um9L_T5vIg,76,152,51,81.72%,304,416,73%,191188
1,https://www.youtube.com/watch?v=5Zmc9whEdAo,67,81,43,77.49%,218,301,72%,410533
2,https://www.youtube.com/watch?v=EMEsZfO_gb8,96,144,112,68.18%,381,505,75%,368990
3,https://www.youtube.com/watch?v=KW_t6P-nxjE,72,88,60,72.73%,240,409,59%,1755121
4,https://www.youtube.com/watch?v=L2fOvbTwSNg,34,65,50,66.44%,161,238,68%,269277
5,https://www.youtube.com/watch?v=RA3XiclLhgk,70,80,51,74.63%,220,328,67%,234698
6,https://www.youtube.com/watch?v=apVtQZNcAIc,532,920,476,75.31%,2000,3403,59%,1565482
7,https://www.youtube.com/watch?v=b_GALE9VzUk,283,346,351,64.18%,1015,1597,64%,458286
8,https://www.youtube.com/watch?v=pdAPf21waSk,72,82,33,82.35%,215,324,66%,154930
9,https://www.youtube.com/watch?v=poAd2RwHZRo,164,168,184,64.34%,552,800,69%,689481
10,https://www.youtube.com/watch?v=zRiu9snbIYk,375,532,343,72.56%,1374,1849,74%,1918223
